trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
386,False,"{'a': 0.6, 'e': 0.0004104546851523817}",25,11,-19.172832199339062,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
387,False,"{'a': 0.6, 'e': 0.00040224559144933403}",25,11,23.626984470545807,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
388,False,"{'a': 0.6, 'e': 0.00039420067962034734}",25,15,18.247913016620185,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
389,False,"{'a': 0.6, 'e': 0.0003863166660279404}",25,13,20.735478753376086,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
390,False,"{'a': 0.6, 'e': 0.0003785903327073816}",20,0,32.468797205852994,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
391,False,"{'a': 0.6, 'e': 0.00037101852605323394}",20,10,18.706458040716722,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
392,False,"{'a': 0.6, 'e': 0.00036359815553216925}",35,23,20.6067447063279,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
393,False,"{'a': 0.6, 'e': 0.0003563261924215259}",25,11,26.609739147260697,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
394,False,"{'a': 0.6, 'e': 0.00034919966857309534}",20,10,16.850106849199832,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
395,False,"{'a': 0.6, 'e': 0.0003422156752016334}",30,7,37.32703632366708,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 0}",1
396,False,"{'a': 0.6, 'e': 0.00033537136169760074}",25,12,24.392381754497077,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
397,False,"{'a': 0.6, 'e': 0.00032866393446364875}",25,9,25.796459203791056,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
398,False,"{'a': 0.6, 'e': 0.00032209065577437575}",30,4,38.95564889314199,"{0: 26, 1: 0, 2: 0, 3: 0, 4: 0}",1
399,False,"{'a': 0.6, 'e': 0.0003156488426588882}",25,0,14.055389328648934,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",0
400,False,"{'a': 0.6, 'e': 0.0003093358658057105}",25,0,40.175086772078515,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
